AppearanceName,murky potion,bulanık iksir
EntityName,fiend,iblis
EntityName,fox,tilki
EntityName,hell hound,cehennem köpeği
EntityName,imp,cin
EntityName,pixie,peri
EntityName,sheep,kuzu
GenderHimself,himself,kendisi
GenderHimself,itself,kendisi
GenderHimself,themself,kendisi
ItemName,ring of see invisible,görünmezlik yüzüğü
ItemType,tool,alet
KindName,umber,dev
SonicName,gem,tılsım
SonicName,grunt,homurtu
SonicName,moan,inleme
SonicName,squall,inleme
SonicName,squeal,ciyaklama
StrikeName,spirit,ruh
