A	C	G	S	#	File
X	X	X	X	4	adamantine bident.png
X	X	X	X	4	adult grey dragon.png
X	X	X	X	4	ancient grey dragon.png
X	X	X	X	4	baby grey dragon.png
X	X	X	X	4	eyeball.png
X	X	X	X	4	fishing pole.png
X	X	X	X	4	grappling hook.png
X	X	X	X	4	grey dragon scale mail.png
X	X	X	X	4	grey dragon scales.png
X	X	X	X	4	mithril axe.png
X	X	X	X	4	mithril trident.png
X	X	X	X	4	naginata.png
X	X	X	X	4	Tempter.png
X	X	X	 	3	adamantine hatchet.png
X	X	 	X	3	burgundy book.png
X	X	 	X	3	froster.png
X	X	 	X	3	healthstone.png
X	X	 	X	3	holy book.png
X	X	 	X	3	igniter.png
X	 	X	X	3	mithril greatsword.png
 	X	X	X	3	mithril shuriken.png
X	X	 	X	3	pentagram book.png
X	X	 	X	3	perforated book.png
X	X	 	X	3	plastic sword.png
X	X	 	X	3	railgun.png
X	X	 	X	3	shredded book.png
X	X	 	X	3	whetstone.png
X	 	X	X	3	young grey dragon.png
 	X	X	 	2	adamantine bullet.png
 	X	X	 	2	adamantine crossbow bolt.png
 	X	X	 	2	adamantine dart.png
 	X	X	 	2	adamantine greatmace.png
 	X	X	 	2	adamantine lance.png
 	X	 	X	2	Al-Mi'raj.png
X	 	 	X	2	astral dragon.png
X	X	 	 	2	bandage.png
X	 	 	X	2	credit card.png
X	 	 	X	2	dwarvish katar.png
X	 	 	X	2	leash.png
X	 	 	X	2	loadstone.png
X	 	 	X	2	luckstone.png
X	X	 	 	2	medical kit.png
X	X	 	 	2	mithril boots.png
X	 	 	X	2	mithril katana.png
X	X	 	 	2	phial.png
X	 	 	X	2	shallow water.png
X	 	 	X	2	sink.png
X	 	 	X	2	stethoscope.png
X	 	 	X	2	tin opener.png
X	 	 	X	2	touchstone.png
X	 	 	X	2	towel.png
X	 	X	 	2	wood panel end down.png
X	 	X	 	2	wood panel end left.png
X	 	X	 	2	wood panel end right.png
X	 	X	 	2	wood panel end up.png
X	 	X	 	2	wood panel pillar.png
 	 	 	X	1	acid elemental.png
 	 	 	X	1	acid sphere.png
 	 	 	X	1	acid spore.png
 	 	X	 	1	adamantine helm.png
